Test Time: 2026-03-13 13:02:42 ~ 2026-03-13 13:03:20 (Duration: 38.9s)
refRPM,RPM,refCCR,State
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
0.0,0.0,0.0,IDLE
